stimuli;coverslip;timing
Baseline;1;0
Omix;1;3
Urine;1;6.3
Fur;1;10
KCl;1;13.3
Baseline;2;0
Omix;2;3
Fur;2;6.3
Urine;2;10
KCl;2;13.3
Baseline;3;0
Omix;3;3
Urine;3;6.3
Fur;3;10
KCl;3;13.3
Baseline;4;0
Urine;4;3
Omix;4;6.3
Fur;4;10
KCl;4;13.3
Baseline;5;0
Fur;5;3
Urine;5;6.3
Omix;5;10
KCl;5;13.3
Baseline;6;0
Omix;6;3
Fur;6;6.3
Urine;6;10
KCl;6;13.3
Baseline;7;0
Omix;7;3
Urine;7;6.3
Fur;7;10
KCl;7;13.3
Baseline;8;0
Omix;8;3
Urine;8;6.3
Fur;8;10
KCl;8;13.3
Baseline;9;0
Omix;9;3
Fur;9;6.3
Urine;9;10
KCl;9;13.3
Baseline;10;0
Fur;10;3
Urine;10;6.3
Omix;10;10
KCl;10;13.3
Baseline;11;0
Urine;11;3
Omix;11;6.3
Fur;11;10
KCl;11;13.3
Baseline;12;0
Fur;12;3
Urine;12;6.3
Omix;12;10
KCl;12;13.3
Baseline;13;0
Urine;13;3
Omix;13;6.3
Fur;13;10
KCl;13;13.3
Baseline;14;0
Omix;14;3
Fur;14;6.3
Urine;14;10
KCl;14;13.3
Baseline;15;0
Urine;15;3
Fur;15;6.3
Omix;15;10
KCl;15;13.3
Baseline;16;0
Fur;16;3
Urine;16;6.3
Omix;16;10
KCl;16;13.3
Baseline;17;0
Urine;17;3
Fur;17;6.3
Omix;17;10
KCl;17;13.3
Baseline;18;0
Fur;18;3
Urine;18;6.3
Omix;18;10
KCl;18;13.3
Baseline;19;0
Fur;19;3
Urine;19;6.3
Omix;19;10
KCl;19;13.3
Baseline;20;0
Urine;20;3
Fur;20;6.3
Omix;20;10
KCl;20;13.3
Baseline;21;0
Fur;21;3
Urine;21;6.3
Omix;21;10
KCl;21;13.3
Baseline;22;0
Urine;22;3
Fur;22;6.3
Omix;22;10
KCl;22;13.3
Baseline;23;0
Omix;23;3
Urine;23;6.3
Fur;23;10
KCl;23;13.3
Baseline;24;0
Urine;24;3
Omix;24;6.3
Fur;24;10
KCl;24;13.3
Baseline;25;0
Fur;25;3
Urine;25;6.3
Omix;25;10
KCl;25;13.3
Baseline;26;0
Urine;26;3
Fur;26;6.3
Omix;26;10
KCl;26;13.3
Baseline;27;0
Urine;27;3
Omix;27;6.3
Fur;27;10
KCl;27;13.3
Baseline;28;0
Fur;28;3
Omix;28;6.3
Urine;28;10
KCl;28;13.3
Baseline;29;0
Fur;29;3
Urine;29;6.3
Omix;29;10
KCl;29;13.3
Baseline;30;0
Omix;30;3
Fur;30;6.3
Urine;30;10
KCl;30;13.3
Baseline;31;0
Urine;31;3
Omix;31;6.3
Fur;31;10
KCl;31;13.3
Baseline;32;0
Urine;32;3
Fur;32;6.3
Omix;32;10
KCl;32;13.3
Baseline;33;0
Fur;33;3
Omix;33;6.3
Urine;33;10
KCl;33;13.3
Baseline;34;0
Omix;34;3
Urine;34;6.3
Fur;34;10
KCl;34;13.3
Baseline;35;0
Omix;35;3
Fur;35;6.3
Urine;35;10
KCl;35;13.3
Baseline;36;0
Fur;36;3
Omix;36;6.3
Urine;36;10
KCl;36;13.3
Baseline;37;0
Fur;37;3
Urine;37;6.3
Omix;37;10
KCl;37;13.3
Baseline;38;0
Omix;38;3
Urine;38;6.3
Fur;38;10
KCl;38;13.3
Baseline;39;0
Urine;39;3
Fur;39;6.3
Omix;39;10
KCl;39;13.3
Baseline;40;0
Fur;40;3
Omix;40;6.3
Urine;40;10
KCl;40;13.3
