"","V1","Mean1","Mean2","Mean3","Mean4","Mean5","Mean6","Mean7","Mean8","Mean9","Mean10","Mean11","Mean12","Mean13","Mean14","Mean15","Mean16","Mean17","Mean18","Mean19","Mean20","Mean21","Mean22","Mean23","Mean24","Mean25","Mean26","Mean27","Mean28","Mean29","Mean30","Mean31","Mean32","Mean33","Mean34","Mean35","Mean36","Mean37","Mean38","Mean39","Mean40","Mean41","Mean42","Mean43","Mean44","Mean45","Mean46","Mean47","Mean48","Mean49","Mean50","Mean51","Mean52","Mean53","Mean54"
"1",1,281.967,249.947,216.531,210.968,219.556,212.602,175.105,140.294,200.101,263.376,252.315,266.37,231.31,319.384,281.093,252.694,234.329,213.813,203.333,264.612,213.145,251.003,293.607,224.87,195.831,197.074,149.102,376.446,290.904,364.979,235.244,242.614,246.987,269.698,224.326,292.392,280.179,275.667,261.92,188.554,177.892,214.75,220.877,128.497,186.92,217.849,159.022,159.068,183.225,100.671,77.9,213.507,252.627,242.438
"2",2,310.154,268.802,233.211,246.168,241.258,234.75,190.179,157.841,219.534,281,276.504,286.591,249.996,327.911,301.269,275.957,246.732,218.542,232.44,277.608,221.171,264.884,319.05,242.363,203.61,210.968,161.261,390.516,297.831,373.225,268.018,253.343,258.95,286.995,231.085,299.925,288.333,305.811,280.117,204.122,199.801,223.244,236.229,146.921,204.949,234.06,174.39,189.734,215.483,122.738,93.4,233.773,263.013,251.495
"3",3,305.658,269.319,243.281,253.902,244.8,245,196.847,172.692,222.008,293.353,284.891,297.774,260.323,339.342,302.338,267.878,249.567,220.078,236.628,280.63,224.618,270.888,324.393,241.596,206.627,222.037,168.723,400.919,309.05,388.157,271.043,270.894,267.37,278.688,246.886,316.651,296.024,310.991,279.934,229.412,222.343,232.026,245.551,153.847,200.864,246.163,182.82,195.3,218.275,133.3,106.279,243.48,282.484,263.943
"4",4,319.296,281.072,240.824,259.698,247.218,248.102,203.984,170.023,223.26,287.059,279.723,298.332,257.135,333.4,306.185,274.326,250.896,231.886,237.039,286.7,233.346,275.269,326.226,242.952,212.441,215.968,174.996,401.683,312.788,386.754,273.744,280.763,272.084,282.557,232.25,321.227,298.469,312.855,281,210.777,217.325,229.955,240.093,161.774,211.159,246.229,187.478,198.072,223.721,134.59,109.308,247.396,284,263.911
"5",5,316.967,286.082,246.426,261.429,257.396,251.234,202.695,177.065,233.828,293.063,286.941,296.62,264.996,344.479,316.736,279.318,251.482,232.361,236.705,275.546,226.776,270.384,326.235,253.678,210.791,215.611,170.985,401.048,308.851,401.53,274.884,275.691,282.063,291.896,251.941,321.365,299.981,315.355,296.905,221.493,223.217,229.75,245.081,166.124,217.341,247.398,197.281,199.705,224.842,139.195,112.192,246.764,285.731,281.833
"6",6,324.638,283.488,250.008,268.298,254.071,248.926,202.037,180.093,235.24,297.004,291.387,308.413,264.76,342.489,309.551,279.42,266.506,231.295,240.947,296.451,233.254,281.978,327.516,262.158,217.305,213.532,178.905,400.538,315.98,395.178,272.963,271.589,277.336,288.891,249.869,321,306.024,326.5,291.124,228.716,221.187,238.064,248.881,167.469,226.386,252.476,200.36,209.377,234.329,143.367,114.5,248.804,291.161,275.031
"7",7,326.908,289.014,249.863,268.016,256.027,253.145,214.426,178.491,240.34,299.02,289.26,306.635,275.672,343.411,312.069,282.894,255.689,245.018,237.217,292.473,234.452,283.581,329.713,254.603,213.006,222.699,180.886,403.457,325.745,393.958,292.799,277.7,286.878,288.036,253.059,321.761,313.285,325.368,304.058,224.426,220.777,244.795,251.572,173.463,223.398,249.62,204.504,211.034,231.208,146.152,119.496,250.844,284.313,268.573
"8",8,323.85,292.169,248.047,270.863,256.796,257.66,215.295,183.827,239.433,296.337,288.164,301.317,277.467,349.453,317.097,274.514,266.372,233.928,252.729,293.912,237.281,282.288,331.144,266.062,225.243,228.38,182.678,408.339,314.795,392.814,285.043,280.198,277.735,287.417,253.576,319.357,302.527,317.632,294.883,219.338,224.892,232.128,255.191,174.847,231.625,265.596,204.228,211.454,237.842,141.376,124.692,254.036,296.551,275.021
"9",9,329.6,287.246,256.832,276.044,260.156,253.297,217.468,192.047,245.155,305.361,295.592,302.837,276.969,337,312.699,284.09,257.427,231.759,246.179,303.974,237.588,280.328,334.762,262.377,220.136,225.245,184.14,411.704,319.815,400.97,280.043,272.43,286.164,302.682,258.47,325.82,318.106,325.605,308.679,231.378,231.181,234.654,260.496,168.531,231.006,257.711,203.434,217.454,240.279,149.176,129.738,263.476,294.63,283.297
"10",10,324.096,293.449,258.164,272.775,262.729,254.602,213.5,175.262,246.521,294.314,303.24,303.183,270.572,343.463,325.236,277.835,277.134,234.06,252.121,302.619,241.11,282.319,335.821,251.952,221.13,224.833,182.303,404.919,322.149,404.403,284.518,286.662,290.748,295.312,254.322,323.749,313.667,325.105,304.248,224.98,242.193,240.346,260.869,179.09,230.659,266.958,205.917,216.971,244.788,152.41,133.921,253.538,295.171,280.849
